
robotV3: Command not recognized.


robotV3 >> sm 100 100
Motor Vectors: [100, 100]


robotV3 >> sm 150 150
Motor Vectors: [150, 150]


robotV3 >> log 150 150


robotV3 >> a,b
20619460,20732100
20619460,20732816
20620532,20733628
20621424,20734392
20622248,20735532
20623276,20737076
20623276,20739804
20624180,20740832
20625092,20741668
20626056,20742420
20626056,20743512
20626932,20744332
20627876,20745488
Stop

