
robotV3: Command not recognized.


robotV3 >> sm 75 75
Motor Vectors: [75, 75]


robotV3 >> log 75 75


robotV3 >> a,b
9663220,9653568
9665056,9655140
9665056,9658936
9666964,9661168
9668696,9664248
9670560,9666544
9672416,9669592
9672416,9671992
9674200,9674936
Stop

