
robotV3: Command not recognized.


robotV3 >> sm 120 120
Motor Vectors: [120, 120]


robotV3 >> log 120


robotV3 >> a,b
8818928,8696728
8820108,8697608
8821264,8698592
8822380,8699556
8823416,8700048
8824692,8700884
8825856,8701932
8826888,8702848
8828164,8703328
Stop

robotV3: Command not recognized.


robotV3 >> re
robotV3: Command not recognized.


robotV3 >> rs
Encoders Reset


robotV3 >> sm 120 120
Motor Vectors: [120, 120]


robotV3 >> log 120 120


robotV3 >> a,b
27912924,27913176
27914080,27914160
27915140,27915104
27916388,27915640
27917528,27916504
27918632,27917492
27919844,27918468
27920912,27918956
27922072,27919808
27923228,27920852
27924340,27921788
27925384,27922260
27926656,27923160
27927816,27924176
27928848,27925128
27930120,27925632
27931240,27926560
27932372,27927544
27933560,27928488
27934648,27929020
27935816,27929884
27936976,27930872
27938088,27931848
27939128,27932336
27940396,27933188
27941552,27934232
27942580,27935168
27943848,27935640
27944976,27936536
27946100,27937560
27947300,27938508
27948388,27939016
27949552,27939940
27950704,27940920
27951816,27941868
27952856,27942400
27954124,27943268
27955288,27944256
27956312,27945232
27957588,27945720
27958708,27946572
27959832,27947620
27961056,27948552
27962108,27949020
27963272,27949924
27964432,27950944
27965548,27951892
27966588,27952400
27967864,27953320
27969020,27954300
27970044,27955252
27971316,27955784
27972436,27956652
27973568,27957640
27974760,27958624
27975872,27959112
27977016,27959968
27978172,27961016
27979284,27961944
27980324,27962420
27981592,27963316
27982752,27964340
27983776,27965292
27985040,27965804
27986172,27966720
27987292,27967696
27988488,27968652
27989572,27969180
27990728,27970084
27991892,27971048
27993004,27972036
27994048,27972524
27995320,27973380
27996476,27974432
27997508,27975360
27998784,27975836
27999900,27976736
28001028,27977756
28002248,27978708
28003308,27979212
28004476,27980140
28005636,27981116
28006752,27982076
28007792,27982604
28009056,27983484
28010212,27984480
28011240,27985464
28012512,27985952
28013676,27986808
28014764,27987860
28015964,27988784
28017052,27989264
28018212,27990156
28019368,27991176
28020484,27992140
28021520,27992640
28022796,27993572
28023952,27994548
28024984,27995512
28026256,27996040
28027376,27996924
28028508,27997920
28029696,27998892
28030784,27999388
28031948,28000232
28033108,28001288
28034228,28002212
28035268,28002692
28036544,28003580
28037696,28004596
28038724,28005560
28040000,28006056
28041124,28006992
28042256,28007968
28043452,28008928
28044544,28009452
28045708,28010336
28046864,28011336
28047980,28012304
28049024,28012796
28050288,28013640
28051448,28014692
28052476,28015620
28053744,28016104
28054896,28016984
28056004,28018004
28057200,28018968
28058280,28019468
28059440,28020404
28060608,28021384
28061724,28022340
28062760,28022868
28064036,28023740
28065196,28024736
28066220,28025704
28067492,28026192
28068616,28027032
28069744,28028084
28070940,28029016
28072032,28029500
28073196,28030384
28074356,28031400
28075468,28032364
28076512,28032864
28077780,28033800
28078932,28034784
28079964,28035732
28081236,28036268
28082360,28037136
28083488,28038128
28084680,28039096
28085764,28039588
28086928,28040432
28088084,28041476
28089200,28042412
28090240,28042888
28091512,28043776
28092668,28044792
28093700,28045752
28094972,28046256
28096092,28047192
28097216,28048172
28098416,28049124
28099500,28049656
28100668,28050516
28101828,28051516
28102944,28052520
28103980,28052976
28105252,28053812
28106412,28054860
28107436,28055796
28108716,28056272
28109832,28057164
28110960,28058184
28112160,28059140
28113244,28059644
28114412,28060572
28115572,28061556
28116684,28062504
28117728,28063036
28118996,28063896
28120156,28064888
28121184,28065860
28122456,28066352
28123580,28067196
28124708,28068240
28125900,28069176
28126984,28069648
28128148,28070548
28129308,28071564
28130424,28072520
28131468,28073016
28132740,28073952
28133900,28074936
28134924,28075880
28136196,28076416
28137320,28077276
28138448,28078268
28139652,28079244
28140736,28079728
28141908,28080576
28143064,28081620
28144180,28082556
28145220,28083028
28146488,28083924
28147648,28084948
28148676,28085900
28149956,28086404
28151076,28087328
28152200,28088312
28153420,28089264
28154480,28089800
28155644,28090656
28156808,28091644
28157920,28092624
28158956,28093112
28160240,28093960
28161392,28095012
28162420,28095936
28163696,28096412
28164824,28097312
28165948,28098328
28167148,28099280
28168236,28099784
28169404,28100708
28170564,28101688
28171680,28102636
28172720,28103172
28173988,28104036
28175152,28105024
28176176,28106000
28177448,28106488
28178572,28107344
28179700,28108392
28180900,28109320
28181984,28109796
28183148,28110692
28184308,28111712
28185424,28112664
28186500,28113168
28187740,28114092
28188900,28115068
28189932,28116020
28191196,28116548
28192328,28117420
28193456,28118408
28194656,28119396
28195740,28119880
28196900,28120736
28198068,28121784
28199184,28122704
28200224,28123184
28201496,28124084
28202652,28125104
28203712,28126056
28204956,28126560
28206084,28127488
28207208,28128460
28208404,28129416
28209496,28129944
28210660,28130816
28211820,28131808
28212936,28132792
28213976,28133288
28215248,28134136
28216408,28135188
28217440,28136116
28218716,28136592
28219840,28137488
28220964,28138512
28222164,28139464
28223248,28139972
28224412,28140896
28225576,28141868
28226728,28142832
28227736,28143356
28229008,28144236
28230168,28145260
28231196,28146208
28232472,28146696
28233596,28147552
28234724,28148604
28235924,28149528
28237016,28150016
28238184,28150896
28239340,28151920
28240456,28152872
28241500,28153384
28242768,28154308
28243932,28155284
28244952,28156244
28246232,28156772
28247352,28157656
28248480,28158656
28249676,28159632
28250760,28160120
28251924,28160972
28253084,28162028
28254200,28162952
28255240,28163432
28256516,28164320
28257672,28165336
28258700,28166300
28259972,28166804
28261100,28167732
28262228,28168708
28263432,28169668
28264516,28170192
28265688,28171080
28266844,28172076
28267964,28173048
28269004,28173540
28270308,28174384
28271436,28175436
28272464,28176364
28273736,28176848
28274868,28177732
