
robotV3: Command not recognized.


robotV3 >> bs
robotV3: Command not recognized.


robotV3 >> cpuy
robotV3: Command not recognized.


robotV3 >> cpu
168 us, min: 164 us, max: 176
3% used for 5ms loop time.


robotV3 >> sm 100 100
Motor Vectors: [100, 100]


robotV3 >> cpu
228 us, min: 164 us, max: 352
4% used for 5ms loop time.


robotV3 >> bs

273170988,3810,3619
273172808,4886,3639
273174624,1756,3708
273176440,1811,2051
273178260,2819,3464
273180076,2909,4213
273181896,2962,3679
273183712,3636,2938
273185564,2788,3726
273187348,2875,3807
273189200,2943,2976
273190984,3602,2873
273192804,4575,5163
273194656,2847,4474
273196436,6868,3625
273198256,1761,2219
273200072,2725,3033
273201892,2828,2089
273203708,2920,4271
273205528,2966,5083
273207364,1819,4584
273209164,1875,2290
273210980,3849,3829
273212884,2927,4453
273214616,3620,2916
273216448,2786,3720
273218252,2880,4543
273220068,2959,2290
273221888,1769,2862
273223712,2733,4401
273225556,4724,2973
273227340,2936,2286
273229172,2973,2934
273231012,2733,2990
273232792,2830,4163
273234612,2904,2815
273236464,2978,3559
273238248,5458,2929
273240100,2796,4457
273241884,2900,2039
273243712,2973,5075
273245516,1784,4975
273247336,2751,5075
273249156,2856,3667
273250972,6906,2943
273252824,2978,2755
273254608,1843,2127
273256424,2845,2889
273258244,2920,5147
273260136,2976,4436
273261880,2743,4573
273263696,2828,3717
273265548,2895,3738
273267368,2978,3048
273269152,1788,2260
273270968,2763,2877
273272788,2869,2938
273274604,2962,1939
273276456,2990,2041
273278240,1850,3492
273280056,2856,2830
273281916,2909,4460
273283692,3576,2969
273285512,1840,3026
273287328,2840,2794
273289180,2906,5229
273290996,2988,3602
273292788,1793,3720
273294600,2773,2156
273296420,2882,5091
273298260,3965,2216
273300052,1799,4569
273301868,1858,2806
273303688,2866,5690
273305508,2941,2889
273307476,6900,4467
273309176,1831,2988
273310960,2851,2735
273312788,2934,3625
273314596,1778,2858
273316412,1805,4360
273318232,2788,2945
273320048,2897,4443
273321892,2976,2769
273323684,1807,5151
273325500,1874,5126
273327320,2877,2931
273329180,2931,4460
273331128,2959,5216
273332772,1851,2218
273334592,2862,4558
273336408,2955,2843
273338228,1785,2909
273340044,3597,2862
273341864,2802,4377
273343680,2913,4457
273345532,2985,3019
273347316,1816,3469
273349132,4709,3019
273350952,2891,2864
273352768,2969,3670
273354624,1794,3723
273356404,1858,4550
273358256,2856,2980
273360040,2966,2862
273361860,1792,4394
273363688,2721,4464
273365496,2813,3792
273367312,2922,2945
273369200,2976,3688
273370948,1823,2064
273372764,6588,4893
273374584,2902,3564
273376408,2976,3829
273378216,3625,2969
273380036,2796,6063
273381856,2880,2064
273383676,2973,3516
273385496,1801,5738
273387308,4619,3548
273389124,2823,2964
273390944,2936,2290
273392760,1786,5063
273394580,1831,2862
273396396,4731,8006
273398216,2920,3720
273400076,2973,4432
273401852,1827,6602
273403672,2808,4460
273405484,2900,4558
273407336,2973,2083
273409120,5419,3564
273410940,2749,4360
273412756,2836,2957
273414576,2950,2032
273416392,1789,4142
273418212,2759,3495
273420028,2851,3717
273421848,3885,2934
s273423748,2959,4394
273425568,1801,4450
273427388,2777,4550
273429204,2862,3511
273431024,2950,4313
273432840,3568,2920
273434660,1810,2957
273436476,2804,4543
273438292,4856,2200
273440180,2969,2952
273441928,1818,7254
273443764,1871,1390
273445584,2886,3673
273447476,2918,5216
273449220,1803,2950
273451080,6443,4471
273452852,2869,3446
273454672,2959,2105
273456492,5357,2836
273458308,1814,5083
273460124,2806,2976
273461944,2916,6826
273463808,4980,3814
273465580,1820,2125
273467404,2819,5791
273469216,6777,2973
273471048,2973,3016
273472852,1814,2913
273474668,2798,2226
273476484,2886,3033
273478308,2973,5832
273480120,3594,2838
273481940,2735,3608
273483756,2821,2950
273485608,4856,2990
273487392,1779,5361
273489212,1827,2092
273491028,2834,2858
273492848,6835,5095
273494700,2976,5130
273496496,1824,2976
273498300,4685,3482
273500116,2900,2856
273501964,2973,3589
273503752,1805,4432
273505572,2747,3016
273507388,2832,2909
273509208,4909,4464
273511024,3717,3021
273512840,1836,3472
273514660,2849,2122
273516476,2927,3611
273518328,2988,5114
273520148,1816,2973
273521932,2819,4114
273523748,2909,6287
273525600,2980,4926
273527412,6308,4464
273529204,2755,2959
273531020,2840,3016
273532840,2952,2767
273534656,1789,4952
273536472,2761,2889
273538292,2851,2952
273540152,2911,3723
273541928,2011,4565
273543744,1832,2938
273545600,2808,3071
273547380,2922,2761
273549200,4016,3511
273551016,4548,2856
273552836,2767,2911
273554652,2858,5195
273556468,2973,3038
273558288,1810,2819
273560104,2779,2113
273561924,2886,2869
273563740,2952,3630
273565556,1808,3835
273567376,1845,3038
273569192,2847,2165
273571012,2936,2851
273572832,1774,5352
273574648,1828,4422
273576464,2786,2168
273578360,2832,6058
273580128,2973,2200
273581952,1806,4482
273583736,2794,2071
273585556,6730,4216
273587372,4948,3586
273589192,1805,3636
273591008,2775,2971
273592824,3810,5305
273594644,2959,4123
273596460,3566,2102
273598280,2753,2869
273600096,4936,5103
273601916,2884,2952
273603808,2957,4471
273605552,3692,2091
273607368,2804,5313
273609184,2893,2913
273611012,2973,2931
273612864,1797,2976
273614796,1805,5204
273616456,2866,2216
273618308,2936,2983
273620092,1785,2755
273621912,2759,2103
273623728,2804,4990
273625548,3858,2913
273627396,2990,2943
273629184,1823,3029
273631000,2813,4145
273632816,3872,2800
273634664,2973,4432
273636452,3033,2922
273638280,1860,5952
273640088,2877,3777
273641904,2969,3048
273643736,1788,3717
273645540,2773,2916
273647360,2825,2962
273649180,2902,3765
273650996,3566,2178
273652812,1839,3076
273654632,5647,3036
273656448,6809,2081
273658300,2985,2804
273660084,1823,2884
273661904,3739,4408
273663756,2866,3723
273665540,2976,3817
273667356,1797,2092
273669172,6481,3556
273670992,2819,3600
273672808,2913,2875
273674628,7085,4525
273676496,3965,5322
273678264,3799,4303
273680080,4875,2877
273681900,3012,2938
273683752,1815,3738
273685540,2811,3708
273687352,6761,2941
273689236,2948,5195
273690988,1802,2071
273692804,6500,2815
273694624,2828,4303
273696440,2938,2920
273698260,3589,2008
273700076,1836,3409
273701904,2830,4825
273703712,4890,4367
273705532,1783,2884
273707348,4582,4411
273709172,2819,4460
273710984,2904,2286
273712836,2978,2102
273714620,1806,3605
273716436,4667,5134
273718256,2836,2971
273720072,2927,4562
273721888,1797,3861
273723784,1815,5208
273725524,2843,2757
273727420,5795,3711
273729256,2973,2950
273730980,1839,2902
273732796,2830,2973
273734616,2911,4539
273736468,2988,2064
273738248,1814,3529
273740068,2800,4293
273742016,4913,4453
273743736,4860,2976
273745524,1798,3053
273747340,4901,4363
273749156,2851,2153
273750976,2948,4374
273752824,4019,4464
273754612,1840,3810
273756428,4724,2198
273758276,3866,3711
273760064,3014,3053
273761884,5446,2095
273763700,2808,4994
273765516,2851,3653
273767336,4898,2964
273769152,1803,5296
273771028,5980,4576
273772788,2853,2911
273774616,2945,2864
273776424,5498,5114
273778244,1845,2962
273780060,2840,2952
273781876,2925,3492
273783696,1755,2862
273785516,2729,4363
273787332,2821,2959
273789156,4956,4528
273790968,2948,2911
273792784,1811,2976
273794604,4720,3021
273796420,2862,3464
273798240,2959,2121
273800056,1795,2882
273801876,2775,5134
273803708,2843,2976
273805512,2931,3043
273807328,1761,2087
273809144,1827,2116
273810964,2823,7405
273812780,2869,2941
273814632,6862,5216
273816416,1816,3792
273818236,2790,2290
273820052,2877,3572
273821872,4952,4287
273823688,1802,2966
273825504,2788,3768
273827324,6669,2904
273829140,2948,2226
273830960,1766,8522
273832776,1832,2767
273834596,2834,2109
273836412,2889,2871
273838232,2971,5122
273840068,1816,2973
273841868,2802,4547
273843684,2886,2078
273845520,5947,4930
273847376,1789,6680
273849136,1862,2836
273850968,4767,2976
273852772,2952,3033
273854588,1781,2307
273856408,2755,4964
273858224,2843,3616
273860044,4867,6077
273861872,2976,4603
273863688,5470,3048
273865500,2806,3676
273867352,2873,2985
273869160,6938,3031
273870952,1814,2108
273872768,2804,4284
273874600,2869,3720
273876460,4886,3717
273878220,4442,5292
273880040,1843,3529
273881860,2851,2111
273883676,4829,2864
273885528,2978,2880
273887312,5506,5183
273889128,2823,3033
273890948,2909,2806
273892764,5020,3564
273894580,1826,2884
273896400,2817,4422
273898216,6772,3026
273900092,4921,4562
273901852,1794,3699
273903672,2773,3016
273905488,4785,2891
273907308,4837,2873
273909160,2983,5001
273910944,1839,3656
273912788,2815,2973
273914576,2918,2290
273916396,2012,4843
273918212,3949,3662
273920036,2821,2889
273921848,2900,3688
273923720,4960,3696
273925492,1785,2976
273927304,2781,3519
273929120,6694,5055
273930940,2913,4401
273932808,2980,3696
273934576,3687,2288
273936512,2775,6097
273938244,3875,2985
273940028,3561,3820
273941848,2019,3886
273943664,1889,2858
273945480,3878,5126
273947332,6949,3685
273949116,1794,5283
273950936,3765,2074
273952752,6715,3519
273954572,2925,4982
273956388,1801,2902
273958212,2771,2973
273960024,2849,3036
273961844,3912,2790
273963660,1786,3553
273965480,1840,2902
273967296,2845,3711
273969112,2922,3019
273970932,5020,3058
273972748,1802,2212
273974564,2806,3019
273976384,4822,3461
273978200,2941,4226
273980020,1807,4293
273981836,1858,2920
273983656,2858,2976
273985472,2948,3043
273987292,1793,3572
273989108,2771,2116
273990960,3965,2862
273992744,2934,2904
273994564,1755,2962
273996380,1807,3038
273998200,6574,2098
274000016,2902,2845
274001832,2950,5048
274003652,1814,5159
274005524,5966,2834
274007288,2869,2183
274009112,2959,3676
274010956,1788,3726
274012740,1854,2071
274014560,2864,3508
274016376,2948,4293
274018192,1764,3679
274020088,1792,3726
274021832,2830,5283
274023664,2909,3717
274025464,2966,2094
274027280,1824,2862
274029100,2813,2906
274030920,2884,2943
274032744,2973,4432
274034556,1810,2779
274036448,2753,4482
274038188,2882,3628
274040008,4932,4377
274041840,1765,2973
274043644,1824,2160
274045460,2845,2204
274047296,2925,3720
274049108,2973,3033
274050912,1834,2875
274052732,5651,4982
274054552,2911,2891
274056392,2973,2929
274058220,1805,4482
274060004,2804,2060
274061820,2891,2911
274063640,2969,2834
274065456,1775,2900
274067276,2745,5171
274069128,4745,3723
274070912,2945,3036
274072756,2973,4912
274074544,1840,2893
274076364,2836,2938
274078208,2893,4460
274080032,2980,3036
274081824,1822,3670
274083672,2794,5976
274085452,2904,2292
274087288,2973,2094
274089088,3566,2860
274090904,2761,2916
274092724,2864,5942
274094544,2959,6043
274096392,2988,2063
274098188,4612,3513
274099996,6653,3591
274101812,2943,4446
274103680,2988,2957
274105448,7331,3046
274107268,2830,3505
274109084,2918,2853
274110936,2978,4340
274112720,1790,3667
274114536,3692,3789
274116356,2875,2911
274118188,2973,3693
274119992,3016,3038
274121808,1867,2290
274123628,2860,2832
274125444,2936,2880
274127372,2983,3705
274129116,3654,6077
274130896,2845,3411
274132716,2934,3639
274134532,3014,2843
274136352,1807,4340
274138168,2779,2925
274140012,5751,3720
274141820,2973,2072
274143652,2830,4460
274145440,1862,2155
274147260,2873,2911
274149076,2952,4460
274150896,1797,2305
274152712,2771,2200
274154536,2856,2969
274156348,4913,3031
274158164,1783,2086
274159984,1807,2124
274161800,2794,2891
274163620,2902,2931
274165504,6933,2952
274167256,1811,3835
274169072,2804,3456
274170900,4800,2813
274172708,2964,2884
274174524,1805,6607
274176344,4633,2971
274178176,2860,3720
274179980,2957,2800
274181840,5024,5204
274183616,1812,2913
274185432,2813,2948
274187292,2889,2985
274189100,2985,3798
274190884,1816,2964
274192740,2794,2988
274194520,2893,2761
274196340,2969,2871
274198156,4519,5005
274199976,2788,4367
274201792,2875,2962
274203612,2966,3026
274205428,2948,3454
274207276,2713,3720
274209064,2811,3664
274210880,2934,2916
274212700,4022,5204
274214552,1811,2992
274216336,1882,2083
274218152,2904,2125
274220072,2925,7440
274221788,1814,2952
274223640,4636,3726
274225424,2886,2180
274227260,2969,2943
274229060,1799,5288
274230876,1826,2074
274232696,2825,2808
274234512,2936,2869
274236332,3610,2925
274238160,1827,2976
274239968,2832,3033
274241784,2913,2081
274243644,2969,2804
274245420,1819,3580
274247240,2804,4429
274249092,2877,5212
274250896,2973,5322
274252692,4512,2111
274254508,2745,2862
274256328,2830,5114
274258168,2929,4464
274259964,3586,3798
274261780,1835,2190
274263600,2838,2973
274265416,5845,3043
274267268,2978,4857
274269052,1827,4975
274270872,2813,4576
274272764,2858,5208
274274580,2955,4464
274276324,1807,2052
274278140,2751,3628
274279960,2838,2858
274281776,4921,5091
274283596,1788,3679
274285432,2751,2976
274287232,6648,2089
274289052,5947,5755
274290900,2990,2871
274292684,5490,2929
274294528,2811,4460
274296352,2893,3720
274298172,2985,5428
274299988,5415,2232
274301772,2765,3820
274303592,2849,2098
274305440,2945,5976
274307224,1797,4370
274309044,2777,3693
274310860,8600,3016
274312680,2950,3446
274314496,1794,2786
274316324,3673,2125
274318132,2838,2909
274319952,2922,4446
274321844,2976,2950
274323600,1818,5947
274325404,2773,3527
274327220,2862,2882
274329092,2952,4460
274330856,1803,2973
274332684,2779,4543
274334492,2875,2193
274336328,5905,6691
274338240,2983,4446
274339988,1831,5191
274341764,2851,2122
274343584,2936,6480
274345400,1775,5863
274347232,4558,2976
274349036,2783,3051
274350852,2873,4172
274352696,2976,2802
274354488,1811,2871
274356308,2794,2934
274358156,2871,2976
274359944,2973,6058
274361760,1807,2094
274363580,2781,3564
274365396,6679,2920
274367244,2950,3714
274369032,1783,3016
274370848,1836,2909
274372668,2798,3708
274374484,7692,3817
274376336,2980,2757
274378120,1815,3524
274379940,3736,2880
274381756,2897,4401
274383624,2955,4464
274385392,1812,3043
274387208,1865,2087
274389028,6699,3540
274390848,2964,4303
274392664,1789,2864
274394516,6405,2980
274396300,2817,3556
274398116,5787,3527
274399968,4984,2845
274401752,1820,5850
274403600,2794,3717
274405508,2838,4464
274407232,4956,2180
274409024,1816,2976
274410840,2798,3046
274412660,2877,2095
274414476,2973,3559
274416296,1793,2893
274418112,2769,1994
274419932,2808,2027
274421748,2897,3426
274423564,2012,2875
274425384,1823,2862
274427204,2813,5099
274429020,6788,4429
c274430924,4913,2969
274432744,1792,3046
274434560,1839,4316
274436376,2834,4998
274438196,2925,2889
274440012,2012,5171
274441832,2729,4418
274443648,4643,3597
274445468,2856,3705
274447284,2971,3780
274449100,1799,2081
274450920,2775,3535
274452736,2869,3614
274454564,2945,1897
274456408,3012,4474
274458192,4609,2061
274460008,2840,3482
274461840,3949,3656
274463644,3558,2927
