
robotV3: Command not recognized.


robotV3 >>
robotV3: Command not recognized.


robotV3 >> s
robotV3: Command not recognized.


robotV3 >> sm 100 100
Motor Vectors: [100, 100]


robotV3 >> bs


robotV3 >> 28954164,949,0
28955304,1940,3472
28956660,1950,3570
28958000,2927,2100
28959372,4875,2214
28960616,1947,2277
28961912,1962,2284
28963356,1901,5305
28964716,1899,2877
28966120,4886,2143
28967412,1878,2193
28968696,1886,2102
28970196,5490,3041
28971928,2877,3664
28973660,1780,2936
28975392,3709,3804
28977124,2875,3567
28978852,5411,5163
28980584,1886,3625
28982352,2938,2988
28984048,4575,2802
28985780,2875,5091
28987508,3036,4525
28989240,5567,2109
28990972,2929,3639
28992780,4968,2959
28994436,1896,2121
28996164,2973,2938
28997896,3679,2161
28999664,6674,2983
29001360,1753,2092
29003092,1836,3608
29004864,2891,2983
29006552,1798,2095
29008284,2825,2877
29010052,2952,4460
29011748,1834,4222
29013476,3855,2936
29015212,5334,3807
29016940,1835,3708
29018672,2893,2077
29020404,1806,2160
29022156,5597,2976
29023868,2966,2071
29025596,3668,5017
29027384,4913,5200
29029060,3563,2813
29030792,3717,2906
29032620,4956,2943
29034256,1805,2211
29035984,4956,2072
29037716,2962,2145
29039448,1832,2973
29041180,2880,3434
29042908,4905,2145
29044640,1857,3711
29046372,6830,4879
29048104,1802,2151
29049852,1888,5204
29051576,2971,2929
29053296,1842,2060
29055028,2884,2138
29056760,3641,4422
29058492,1840,2055
29060220,6814,2133
29061952,3703,3662
29063696,2823,4603
29065424,2973,2140
29067160,1835,2973
29068880,4829,2955
29070764,6878,6685
29072340,1840,2117
29074072,2897,3810
29075804,1810,3036
29077540,2830,4207
29079268,4956,4591
29080996,3681,3043
29082728,2897,2142
29084460,4448,2955
29086192,1864,3639
29087956,4789,2237
29089652,4528,2893
29091384,4867,3702
29093116,4948,4528
29094848,1836,2095
29096576,2889,4377
29098308,4886,5292
29100048,3720,2122
29101772,2950,4397
29103504,1806,3061
29105264,4724,2976
29106992,4956,2853
29108696,3695,2893
29110464,2877,4467
29112160,1764,2098
