
robotV3: Command not recognized.


robotV3 >> sm 100 100
Motor Vectors: [100, 100]


robotV3 >> log 100 100


robotV3 >> a,b
6567360,6787936
6968684,6968552
6570124,6969692
6969904,6970320
6571452,6971372
6971424,6793164
6572696,6972560
6972764,6973708
6974116,6974292
6975536,6975300
6976832,6976560
6978216,6977668
6979600,6978260
6980936,6979296
6982180,6980524
6983696,6981664
6985076,6982260
6986304,6983372
6987828,6984544
6989180,6985684
6990520,6986344
6991948,6987368
6993248,6988560
6994636,6989720
6996024,6990312
6997360,6991328
6998608,6992576
7000128,6993684
7001520,6994260
7002740,6995328
7004264,6996544
7005616,6997692
7006964,6998296
7008396,6999404
7009732,7000552
7011088,7001700
7012468,7002340
7013808,7003384
7015060,7004560
7016596,7005724
7017964,7006308
7019188,7007320
7020708,7008572
7022060,7009688
7023408,7010252
7024844,7011328
7026140,7012544
7027524,7013688
7028912,7014284
7030244,7015392
7031488,7016556
7033012,7017700
7034396,7018324
7035620,7019384
7037140,7020580
7038488,7021740
7039832,7022324
7041264,7023344
7042564,7024604
7043948,7025712
7045332,7026288
7046668,7027356
7047912,7028580
7049432,7029728
7050820,7030336
7052040,7031448
7053560,7032616
7054908,7033764
7056256,7034444
7057692,7035456
7058988,7036652
7060376,7037816
7061760,7038408
7063104,7039420
7064344,7040684
7065904,7041792
7067252,7042376
7068476,7043440
7069996,7044668
7071348,7045812
7072700,7046424
7074132,7047528
7075428,7048684
7076816,7049832
7078200,7050480
7079532,7051520
7080784,7052704
7082300,7053872
7083684,7054456
7084916,7055468
7086436,7056720
7087780,7057836
7089136,7058408
7090592,7059488
7091868,7060700
7093260,7061844
7094652,7062440
7095984,7063552
7097232,7064720
7098760,7065864
7100152,7066496
7101380,7067548
7102908,7068744
7104256,7069904
7105612,7070488
7107056,7071504
7108360,7072768
7109752,7073876
7111144,7074444
7112480,7075512
7113736,7076744
7115260,7077892
7116660,7078496
7117896,7079612
7119432,7080828
7120776,7081928
7122140,7082568
7123580,7083624
7124892,7084820
7126300,7085980
7127696,7086580
7129036,7087596
7130292,7088852
7131824,7089964
7133228,7090552
7134468,7091616
7136008,7092844
7137356,7094000
7138720,7094604
7140164,7095712
7141476,7096880
7142880,7098028
7144280,7098684
7145624,7099724
7146876,7100912
7148412,7102080
7149812,7102668
7151060,7103688
7152584,7104940
7153940,7106068
7155304,7106648
7156744,7107716
7158052,7108936
7159456,7110088
7160860,7110692
7162196,7111808
7163448,7112972
7164988,7114120
7166380,7114756
7167612,7115816
7169152,7117008
7170500,7118172
7171860,7118752
7173300,7119780
7174608,7121044
7176004,7122188
7177404,7122732
7178752,7123812
7180004,7125040
7181540,7126184
7182936,7126788
7184172,7127908
7185708,7129084
7187060,7130232
7188424,7130864
7189864,7131924
7191176,7133124
7192572,7134292
7193972,7134876
7195308,7135908
7196564,7137164
7198096,7138280
7199496,7138860
7200736,7139924
7202268,7141164
7203616,7142312
7204980,7142932
7206428,7144044
7207736,7145212
7209136,7146360
7210536,7147008
7211876,7148060
7213136,7149260
7214664,7150424
7216068,7151024
7217304,7152040
7218844,7153304
7220192,7154424
7221564,7155008
7223016,7156076
7224316,7157304
7225724,7158460
