
robotV3: Command not recognized.


robotV3 >> sm 100 100
Motor Vectors: [100, 100]
7227124,7159072
7228468,7160176
7229736,7161340
7231260,7162492
7232660,7163140
7233904,7164184
7235440,7165372
7236804,7166540
7238168,7167136
7239612,7168148
7240924,7169404
7242332,7170544
7243736,7171100
7245080,7172180
7246340,7173400
7247872,7174552
7249280,7175152
7250516,7176272
7252056,7177452
7253412,7178588
7254772,7179220
7256224,7180284
7257528,7181472
7258928,7182640
7260324,7183220
7261676,7184248
7262932,7185512
7264464,7186632
7265860,7187196
7267096,7188276
7268636,7189504
7269988,7190656
7271348,7191260
7272792,7192380
7274100,7193560
7275496,7194704
7276896,7195352
7278232,7196400
7279488,7197604
7281020,7198772
7282452,7199360
7283652,7200396
7285228,7201652
7286540,7202768
7287896,7203352
7289344,7204420
7290652,7205660
7292052,7206812
7293448,7207424
7294792,7208536
7296044,7209712
7297580,7210868
7298988,7211512
7300220,7212568
7301756,7213764
7303108,7214936
7304472,7215532
7305916,7216552
7307224,7217816
7308632,7218932
7310032,7219524
7311376,7220588
7312628,7221820
7314160,7222976
7315556,7223592
7316804,7224696
7318340,7225860
7319696,7227016
7321060,7227668
7322500,7228708
7323820,7229900
7325224,7231076
7326620,7231668
7327972,7232708
7329228,7233944
7330760,7235064
7332164,7235640
7333404,7236720
7334948,7237936
7336304,7239096
7337664,7239696
7339108,7240820
7340420,7241980
7341820,7243132
7343224,7243780
7344568,7244832
7345828,7246020
7347360,7247188
7348760,7247772
7349996,7248800
7351532,7250060
7352892,7251176
7354248,7251744
7355692,7252824
7357008,7254056
7358404,7255208
7359804,7255808
7361144,7256932
7362404,7258112
7363940,7259256
7365336,7259896
7366576,7260956
7368112,7262164
7369464,7263332
7370836,7263920
7372276,7264952
7373588,7266220
7374988,7267340
7376384,7267916
7377728,7268992
7378988,7270232
7380516,7271400
7381928,7272004
7383164,7273116
7384700,7274300
7386052,7275448
7387416,7276096
7388860,7277152
7390168,7278356
7391580,7279536
7392976,7280120
7394320,7281148
7395580,7282412
7397148,7283532
7398512,7284116
7399752,7285184
7401288,7286420
7402648,7287576
7404012,7288192
7405456,7289300
7406768,7290472
7408176,7291620
7409580,7292272
7410924,7293320
7412184,7294520
7413720,7295692
7415124,7296284
7416364,7297304
7417900,7298564
7419260,7299684
7420628,7300268
7422068,7301340
7423380,7302564
7424780,7303720
7426188,7304328
7427536,7305444
7428792,7306604
7430332,7307756
7431732,7308404
7432968,7309448
7434512,7310640
7435868,7311808
7437232,7312392
7438684,7313420
7439996,7314676
7441392,7315800
7442792,7316368
7444136,7317448
7445400,7318672
7446932,7319828
7448336,7320428
7449568,7321552
7451112,7322728
7452464,7323876
7453872,7324508
7455276,7325568
7456592,7326776
7458000,7327932
7459392,7328520
7460736,7329548
7462000,7330816
7463532,7331932
7464928,7332500
7466172,7333576
7467708,7334812
7469068,7335968
7470432,7336572
7471876,7337712
7473188,7338876
7474596,7340024
7475996,7340668
7477340,7341732
7478604,7342936
7480128,7344104
7481540,7344700
7482772,7345724
7484308,7346988
7485672,7348108
7487040,7348700
7488476,7349764
7489788,7351004
7491196,7352160
7492600,7352780
7493948,7353888
7495208,7355064
7496736,7356212
7498132,7356868
7499376,7357920
7500916,7359116
7502276,7360284
7503640,7360880
7505080,7361908
7506392,7363164
7507792,7364288
7509192,7364876
7510544,7365944
7511804,7367176
7513340,7368336
Stop
:hardcopy -h 100ts2.csv
robotV3: Command not recognized.


robotV3 >>
