
robotV3: Command not recognized.


robotV3 >> sm 102 102
Motor Vectors: [102, 102]


robotV3 >> log 102 102


robotV3 >> a,b
339494636,172179093
333028539,172179094
326627966,172179093
323045450,172179093
317234709,172179093
310571998,166149857
304127729,160907046
300894751,155172719
295127698,149307288
Stop

